"filename", "language", "JSON with Comments", "Ignore", "JSON", "JavaScript", "Markdown", "TypeScript", "Shell Script", "Docker", "TypeScript JSX", "HTML", "JavaScript JSX", "SCSS", "CSV", "comment", "blank", "total"
"d:\original\TRACNEW2\.eslintrc.json", "JSON with Comments", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\original\TRACNEW2\.prettierignore", "Ignore", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"d:\original\TRACNEW2\.prettierrc", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\activeSessions.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\008qep3ip.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\01mj9t3t4.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\03en3p5af.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\048r84nba.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\05jl043rb.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\06a2t7ofx.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
