Date : 2024-01-02 17:22:45
Directory : d:\original\TRACNEW2
Total : 457 files,  631578 codes, 801 comments, 1701 blanks, all 634080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| CSV                |          1 |    571,081 |          0 |          1 |    571,082 |
| JSON               |         84 |     36,983 |          0 |         84 |     37,067 |
| TypeScript         |        197 |     12,783 |        438 |        928 |     14,149 |
| TypeScript JSX     |        108 |      8,278 |        252 |        465 |      8,995 |
| JavaScript         |         24 |      1,247 |         44 |         90 |      1,381 |
| JavaScript JSX     |          7 |        592 |         59 |         47 |        698 |
| JSON with Comments |         25 |        407 |          0 |         24 |        431 |
| Markdown           |          5 |         93 |          0 |         35 |        128 |
| SCSS               |          1 |         75 |          1 |         18 |         94 |
| Docker             |          2 |         20 |          4 |          4 |         28 |
| HTML               |          1 |         14 |          0 |          2 |         16 |
| Shell Script       |          1 |          3 |          2 |          1 |          6 |
| Ignore             |          1 |          2 |          1 |          2 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        457 |    631,578 |        801 |      1,701 |    634,080 |
| . (Files)                                                                                                |         12 |     36,199 |          1 |         29 |     36,229 |
| F                                                                                                        |         44 |         44 |          0 |         44 |         88 |
| F\REACTJS                                                                                                |         44 |         44 |          0 |         44 |         88 |
| F\REACTJS\TRAC                                                                                           |         44 |         44 |          0 |         44 |         88 |
| F\REACTJS\TRAC\UploadedFiles                                                                             |         44 |         44 |          0 |         44 |         88 |
| F\REACTJS\TRAC\UploadedFiles (Files)                                                                     |          2 |          2 |          0 |          2 |          4 |
| F\REACTJS\TRAC\UploadedFiles\session-data                                                                |         41 |         41 |          0 |         41 |         82 |
| F\REACTJS\TRAC\UploadedFiles\settings                                                                    |          1 |          1 |          0 |          1 |          2 |
| apps                                                                                                     |        287 |    589,070 |        618 |      1,179 |    590,867 |
| apps\db-reset                                                                                            |         13 |        402 |          4 |         33 |        439 |
| apps\db-reset (Files)                                                                                    |          6 |        124 |          1 |          6 |        131 |
| apps\db-reset\src                                                                                        |          7 |        278 |          3 |         27 |        308 |
| apps\db-reset\src (Files)                                                                                |          2 |        136 |          2 |         13 |        151 |
| apps\db-reset\src\app                                                                                    |          3 |        136 |          1 |         12 |        149 |
| apps\db-reset\src\environments                                                                           |          2 |          6 |          0 |          2 |          8 |
| apps\iol-extract                                                                                         |          7 |        162 |          2 |          9 |        173 |
| apps\iol-extract (Files)                                                                                 |          6 |        124 |          1 |          6 |        131 |
| apps\iol-extract\src                                                                                     |          1 |         38 |          1 |          3 |         42 |
| apps\pdftest                                                                                             |         10 |        235 |          4 |         13 |        252 |
| apps\pdftest (Files)                                                                                     |          6 |        124 |          1 |          6 |        131 |
| apps\pdftest\src                                                                                         |          4 |        111 |          3 |          7 |        121 |
| apps\pdftest\src (Files)                                                                                 |          1 |         65 |          3 |          4 |         72 |
| apps\pdftest\src\app                                                                                     |          1 |         40 |          0 |          1 |         41 |
| apps\pdftest\src\environments                                                                            |          2 |          6 |          0 |          2 |          8 |
| apps\tedioustest                                                                                         |         11 |        707 |         12 |         17 |        736 |
| apps\tedioustest (Files)                                                                                 |          6 |        125 |          1 |          6 |        132 |
| apps\tedioustest\src                                                                                     |          5 |        582 |         11 |         11 |        604 |
| apps\tedioustest\src (Files)                                                                             |          1 |        107 |          1 |          3 |        111 |
| apps\tedioustest\src\app                                                                                 |          2 |        469 |         10 |          6 |        485 |
| apps\tedioustest\src\environments                                                                        |          2 |          6 |          0 |          2 |          8 |
| apps\trac-api                                                                                            |         64 |    575,706 |        180 |        351 |    576,237 |
| apps\trac-api (Files)                                                                                    |          7 |        133 |          2 |          7 |        142 |
| apps\trac-api\src                                                                                        |         57 |    575,573 |        178 |        344 |    576,095 |
| apps\trac-api\src (Files)                                                                                |          1 |        270 |         15 |         29 |        314 |
| apps\trac-api\src\app                                                                                    |         53 |      4,216 |        163 |        312 |      4,691 |
| apps\trac-api\src\app (Files)                                                                            |         16 |      1,263 |         39 |        121 |      1,423 |
| apps\trac-api\src\app\__tests__                                                                          |          6 |        416 |          0 |         14 |        430 |
| apps\trac-api\src\app\datastore                                                                          |         10 |        841 |         34 |         56 |        931 |
